Name,Birthday
Albert Einstein,1879-03-14
Leonardo da Vinci,1452-04-15
William Shakespeare,1564-04-23
Marie Curie,1867-11-07
Martin Luther King Jr.,1929-01-15
Jane Austen,1775-12-16
Isaac Newton,1643-01-04
Charles Darwin,1809-02-12
Amelia Earhart,1897-07-24
George Washington,1732-02-22
Galileo Galilei,1564-02-15
Alexander Graham Bell,1847-03-03
Harriet Tubman,1822-03-10
Helen Keller,1880-06-27
Ludwig van Beethoven,1770-12-17
Rosa Parks,1913-02-04
Michael Faraday,1791-09-22
Emily Dickinson,1830-12-10
Neil Armstrong,1930-08-05
Ada Lovelace,1815-12-10
